openfootball,canonical
Algeria,Algeria
Argentina,Argentina
Australia,Australia
Austria,Austria
Belgium,Belgium
Bosnia & Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Canada,Canada
Cape Verde,Cape Verde
Colombia,Colombia
Croatia,Croatia
Curaçao,Curaçao
Czech Republic,Czech Republic
DR Congo,DR Congo
Ecuador,Ecuador
Egypt,Egypt
England,England
France,France
Germany,Germany
Ghana,Ghana
Haiti,Haiti
Iran,Iran
Iraq,Iraq
Ivory Coast,Ivory Coast
Japan,Japan
Jordan,Jordan
Mexico,Mexico
Morocco,Morocco
Netherlands,Netherlands
New Zealand,New Zealand
Norway,Norway
Panama,Panama
Paraguay,Paraguay
Portugal,Portugal
Qatar,Qatar
Saudi Arabia,Saudi Arabia
Scotland,Scotland
Senegal,Senegal
South Africa,South Africa
South Korea,South Korea
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Tunisia,Tunisia
Turkey,Turkey
USA,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
